Ethnic_Group,Departamento,TOWN (MUNICIPIO),CABECERAS  Y CENTROS POBLADOS (TOWNSHIPS AND MICROTOWNSHIPS),NAME OF THE COMMUNITY COUNCIL OR RESERVATION,NAME OF THE PEOPLE,RECOGNITION RESOLUTION,RECOGNITION DATE,LAND TITLE SITUATION,SOURCE (PUBLIC OFFICE OFFERS INFO),TITLING RESOLUTION,DATE TITLED,NUMBER OF FAMILIES,AREA (blocks?),NUMBER OF PEOPLE(CAN THIS BE CONNECTED WITH CENSUS?),,,,,
AFRO,CORDOBA,CANALETE,MANUEL ZAPATA OLIVELLA,MANUEL ZAPATA OLIVELLA,NOT INFORMED,2,7-Feb-13,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,CORDOBA,CANALETE,BOCAS DE URE ,(EDUARDO MARCELO),NOT INFORMED,58,11-Jun-13,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,CORDOBA,CERETE,CUENCA DEL RIO BROQUELES,CUENCA DEL RIO BROQUELES,NOT INFORMED,118,23-Sep-13,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,CORDOBA,CERETE,MPUI,CONCOARAPIOS,NOT INFORMED,426,22-Aug-12,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,SAN ANDRES DE SOTAVENTO,DIECISIETE DE JUNIO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,AGUAS VIVAS,AGUAS VIVAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,EL CONTENTO,El CONTENTO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,,EL CORRAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)","ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",DOZA (CRISTO) RIO VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",TUNDO (FORTUNA) RIO VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",PAWARANDO (PANICO) RIO VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",ARIZA (BRIGIDO) RIO VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",PORREMIA (CHOCO) RIO VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",IMAMADO (TIGRE) RIO VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",ZORANDO (ISLETA) RIO VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",AMBORROMIA SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",NAWA SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",MONGARATATADO (MUTATA) SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHIMA,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",ZAMBUDO (TOTUMA) SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",KOREDO (CAIMAN) SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",KAPUPUDO (CANDELARIA) SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",CHANGARA (SOCORRO) SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",KIPARADO (CRUZ GRANDE) QUEBRADA CRUZ GRANDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)","BEGUIDO, ESMERALDA",EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",KACHICHI (CACHICHI) ESMERALDA,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",WIDO SINU ,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",KARACARADO (CARACAS)-VERDE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",JUNKARADO (PITA)-ESMERALDA,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",KANYIDO (ESMERALDA) ,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",ANTADO-MANSO,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",CAMPOALEGRE,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",NAWA NUEVO-SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",NEJODO-SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",ESMERALDA-SINU,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",CHANCANDO,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,"ALTO SINU, ESMERALDA, CRUZ GRANDE E IWAGADO (HOY EMBERA KATIO DEL ALTO SINU)",KARAKARADO ,EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,SAN ANDRES DE SOTAVENTO,ARACHE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,LA ARENA,ARENA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,,ARENAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CHINU,ASERRADERO,ASERRADERO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CIENAGA DE ORO,BAJO GRANDE,BAJO GRANDE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CIENAGA DE ORO,BARRO PRIETO,BARRO PRIETO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CIENAGA DE ORO,BLEO ,BLEO VERDINAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CIENAGA DE ORO,BETULIA,BOCON BETULIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,CIENAGA DE ORO,CACAOTAL,CACAOTAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LA APARTADA,,CALLE RALITA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,SAN ANDRES DE SOTAVENTO,CAMPO BELLO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,,CAPIRRA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,,CHIMA URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,,CHINU URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,SAN ANDRES DE SOTAVENTO,ES COMEJEN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,BOCAS DE URE,BOCAS DE URE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,LORICA,,"QUEBRADA CANAVERAL, RIO SAN JORGE",EMBERA KATIO,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,BUENOS AIRES ABAJO,BUENOS AIRES ABAJO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,,CARACOLI,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,,CENTROAMERICA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,,EL SANTUARIO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,,EL TAMBO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,,GUACARI,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,PICA PICA VIEJO,LA LIBERTAD,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MOMIL,,LA LIBORIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MONITOS,,LA LUCHA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MONTELIBANO,,LA UNION MORROCOY,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MONTELIBANO,,LAS FLORES DE CORDOBA Y MARGARITAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MONTELIBANO,,MIRAFLOR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MONTELIBANO,PUERTO NUEVO,PUERTO NUEVO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MONTELIBANO,PICA PICA,PICA PICA NUEVO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,MONTELIBANO,SANTA FE LAS CLARAS,SANTA FE LAS CLARAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,TORNO ROJO,TORNO ROJO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,,VILLA CARMINIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,,SANTA FE ALTO SAN JORGE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,,EL BUGRE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,EL PITAL,EL PITAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,ESCOBALITO,ESCOBALITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,FLECHAS SEVILLA,FLECHAS SEVILLA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,EL HUESO,EL HUESO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PLANETARICA,LAS LOMAS,LAS LOMAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUEBLO NUEVO,SAN ANDRES DE SOTAVENTO,MALEMBA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUEBLO NUEVO,,MOHAN CUATRO VIENTOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUEBLO NUEVO,,MOMIL URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUEBLO NUEVO,PALMITAL,PALMITAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO ESCONDIDO,PEREIRA,PEREIRA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO ESCONDIDO,,PLANADA VILLERO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,EL PORVENIR,EL PORVENIR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,RETIRO DE LOS PEREZ,RETIRO DE LOS PEREZ,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SACANA ABAJO,SACANA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SABANETA,SABANETA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,,SAHAGUN URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,ANDES RECUPERACION,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,BAJO GRANDE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,BARBACOA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,BELLA ISLA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,BELLA VISTA RECUPERACION,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,BERLIN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,CARTAGENITA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,CASITAS ARGENTINA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,CELESTE IMPERIO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,CENEGAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,CERRO VIDALES,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR,SAN ANDRES DE SOTAVENTO,CERRO BOMBA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PUERTO LIBERTADOR Y MONTELIBANO,SAN ANDRES DE SOTAVENTO,COSTA RICA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,CRUZ DEL GUAYABO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,CUESTA ABAJO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,EL CARMEN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,EL MORA ,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,ESMERALDA NORTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,ESMERALDA SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,FLECHA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,PURISIMA,SAN ANDRES DE SOTAVENTO,FLORES DE MOCHA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN,SAN ANDRES DE SOTAVENTO,GARDENIAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN,SAN ANDRES DE SOTAVENTO,JEJEN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN,SAN ANDRES DE SOTAVENTO,GUAYMARAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN,SAN ANDRES DE SOTAVENTO,GUAYABO SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN,SAN ANDRES DE SOTAVENTO,GUAYACANES SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN,SAN ANDRES DE SOTAVENTO,LA GLORIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN Y CIENAGA DE ORO,SAN ANDRES DE SOTAVENTO,LA SIRIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN Y CIENAGA DE ORO,SAN ANDRES DE SOTAVENTO,LA TAMBORA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAHAGUN Y SAN MARCOS (SUCRE),SAN ANDRES DE SOTAVENTO,LAS CASITAS SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,LOS CASTILLOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,LOS CORREA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,MAJAGUAL 1,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,MOLINA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,MORA ALEMANIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,NUEVA COLOMBIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
