Ethnic_Group,Departamento,TOWN (MUNICIPIO),CABECERAS  Y CENTROS POBLADOS (TOWNSHIPS AND MICROTOWNSHIPS),NAME OF THE COMMUNITY COUNCIL OR RESERVATION,NAME OF THE PEOPLE,RECOGNITION RESOLUTION,RECOGNITION DATE,LAND TITLE SITUATION,SOURCE (PUBLIC OFFICE OFFERS INFO),TITLING RESOLUTION,DATE TITLED,NUMBER OF FAMILIES,AREA (blocks?),NUMBER OF PEOPLE(CAN THIS BE CONNECTED WITH CENSUS?),,,,,
INDIGENA,BOLIVAR,"ARJONA, SAN JUAN NEPOMUCENO, MAHATES",,GAMBOTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,BOLIVAR,BARRANCO DE LOBA,,LOS PALENQUES,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,BARRANCO DE LOBA,,ANTONIO SAJON,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CALAMAR,"HATO VIEJO, Mandigas, Carretal, Paraiso, Las Brisas, Las Yayas","HATO VIEJO, Mandigas, Carretal, Paraiso, Las Brisas, Las Yayas",NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
INDIGENA,BOLIVAR,CARTAGENA DE INDIAS,MEMBRILLAL,Cabildo Indigena Zenu de Membrillal (Caizem),ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,LA BOQUILLA,Consejo Comunitario de la Comunidad Negra de la Boquilla,NOT INFORMED,NOT INFORMED,NOT INFORMED,TITLED,"ANT, DACNARP",467,3/30/2012,2179,39.7028,9372,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,MANGO DE LA PUA II,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,SANTA CRUZ DEL ISLOTE,SANTA CRUZ DEL ISLOTE,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,MANZANILLO DEL MAR,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,LOS OLIVOS,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,ARROYO GRANDE,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,EL RECREO CANAL DEL DIQUE,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,MARLINDA,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,PUERTO REY,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,ARARCA,Consejo comunitario Ararca(r) Isla de Baru,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,ARROYO DE LAS CANOAS,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,ARROYODE PIEDRA,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,PASACABALLOS,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
